IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
88.218.193.1,443,TRUE,FRA,DE,Hesse,,,AS3214
188.95.70.132,2053,TRUE,FRA,DE,Hesse,,,AS3214
188.95.70.191,443,TRUE,FRA,DE,Hesse,,,AS3214
104.255.66.239,443,TRUE,AMS,NL,North Holland,,,AS3214
45.131.153.12,443,TRUE,DUS,DE,North Rhine-Westphalia,,,AS3214
185.194.53.183,443,TRUE,TLL,EE,Harjumaa,,,AS3214
185.194.53.183,8443,TRUE,TLL,EE,Harjumaa,,,AS3214
185.194.53.42,443,TRUE,TLL,EE,Harjumaa,,,AS3214
78.142.230.76,443,TRUE,AMS,NL,North Holland,,,AS3214
45.131.153.12,8443,TRUE,DUS,DE,North Rhine-Westphalia,,,AS3214
45.147.48.93,443,TRUE,FRA,DE,Hesse,,,AS3214
23.165.200.148,443,TRUE,FRA,DE,Hesse,,,AS3214
78.142.230.231,8443,TRUE,AMS,NL,North Holland,,,AS3214
45.147.48.147,443,TRUE,FRA,DE,Hesse,,,AS3214
185.254.74.165,443,TRUE,DUS,DE,North Rhine-Westphalia,,,AS3214
45.147.49.247,443,TRUE,FRA,DE,Hesse,,,AS3214
45.147.49.183,443,TRUE,DUB,IS,Capital Region,,,AS200651
213.232.114.173,8443,TRUE,AMS,NL,North Holland,,,AS3214
172.93.185.10,443,TRUE,FRA,DE,Hesse,,,AS3214
185.194.53.88,443,TRUE,TLL,EE,Harjumaa,,,AS3214
188.95.70.31,8443,TRUE,FRA,DE,Hesse,,,AS3214
23.165.200.143,443,TRUE,FRA,DE,Hesse,,,AS3214
194.169.54.92,443,TRUE,FRA,DE,Hesse,,,AS3214
192.109.228.225,443,TRUE,AMS,NL,North Holland,,,AS3214
45.147.48.115,2053,TRUE,FRA,DE,Hesse,,,AS3214
45.80.188.163,443,TRUE,FRA,DE,Hesse,,,AS3214
78.142.228.164,443,TRUE,AMS,NL,North Holland,,,AS3214
89.106.207.156,443,TRUE,AMS,NL,North Holland,,,AS3214
192.109.228.21,443,TRUE,AMS,NL,North Holland,,,AS3214
23.165.200.154,443,TRUE,FRA,DE,Hesse,,,AS3214
185.254.74.184,443,TRUE,DUS,DE,North Rhine-Westphalia,,,AS3214
109.94.170.104,443,TRUE,FRA,DE,Hesse,,,AS3214
89.106.207.15,443,TRUE,AMS,NL,North Holland,,,AS3214
194.169.54.16,8443,TRUE,FRA,DE,Hesse,,,AS3214
45.147.49.242,443,TRUE,FRA,DE,Hesse,,,AS3214
78.142.228.156,443,TRUE,AMS,NL,North Holland,,,AS3214
185.194.53.245,8443,TRUE,TLL,EE,Harjumaa,,,AS3214
