IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度,ASN
191.222.209.144,443,TRUE,NRT,JP,Tokyo,,,AS906
191.222.212.202,443,TRUE,NRT,JP,Tokyo,,,AS906
154.26.185.113,443,TRUE,LAX,US,California,,,AS906
179.255.113.73,443,TRUE,LAX,US,California,,,AS906
179.255.112.151,443,TRUE,LAX,US,California,,,AS906
64.186.254.168,443,TRUE,LAX,US,California,,,AS906
154.21.90.122,443,TRUE,LAX,US,California,,,AS906
179.255.105.12,443,TRUE,LAX,US,California,,,AS906
179.255.112.233,443,TRUE,LAX,US,California,,,AS906
179.255.148.115,443,TRUE,LAX,US,California,,,AS906
179.255.105.75,443,TRUE,LAX,US,California,,,AS906
154.17.6.8,8443,TRUE,LAX,US,California,,,AS906
69.63.219.251,443,TRUE,LAX,US,California,,,AS906
179.255.148.166,8443,TRUE,LAX,US,California,,,AS906
154.12.178.224,443,TRUE,HKG,HK,,,,AS906
179.255.113.20,443,TRUE,LAX,US,California,,,AS906
191.222.208.88,443,TRUE,NRT,JP,Tokyo,,,AS906
191.222.213.234,443,TRUE,NRT,JP,Tokyo,,,AS906
64.186.230.172,443,TRUE,LAX,US,California,,,AS906
154.17.0.106,443,TRUE,LAX,US,California,,,AS906
179.253.249.10,8443,TRUE,LAX,US,California,,,AS906
191.222.223.82,443,TRUE,NRT,JP,Tokyo,,,AS906
174.136.206.85,443,TRUE,LAX,US,California,,,AS906
154.17.17.222,443,TRUE,LAX,US,California,,,AS906
174.136.205.28,443,TRUE,LAX,US,California,,,AS906
64.186.246.65,443,TRUE,LAX,US,California,,,AS906
179.253.252.105,443,TRUE,NRT,JP,Tokyo,,,AS906
179.255.104.249,443,TRUE,LAX,US,California,,,AS906
154.12.179.62,443,TRUE,HKG,HK,,,,AS906
191.222.213.66,443,TRUE,NRT,JP,Tokyo,,,AS906
179.255.124.191,443,TRUE,LAX,US,California,,,AS906
64.186.227.231,443,TRUE,LAX,US,California,,,AS906
179.255.120.65,443,TRUE,LAX,US,California,,,AS906
179.255.148.208,443,TRUE,LAX,US,California,,,AS906
179.255.104.227,8443,TRUE,LAX,US,California,,,AS906
179.255.104.81,443,TRUE,LAX,US,California,,,AS906
179.253.236.192,443,TRUE,LAX,US,California,,,AS906
69.63.193.90,443,TRUE,LAX,US,California,,,AS906
191.222.209.196,8443,TRUE,NRT,JP,Tokyo,,,AS906
154.17.14.24,443,TRUE,LAX,US,California,,,AS906
179.255.100.156,443,TRUE,LAX,US,California,,,AS906
64.186.248.22,443,TRUE,LAX,US,California,,,AS906
179.255.101.87,2053,TRUE,LAX,US,California,,,AS906
179.255.149.61,443,TRUE,LAX,US,California,,,AS906
